keyword_pencarian,username,timestamp,text
nikel papua,dr NishaL K.D,2025-09-07T14:47:35.000Z,"MalaYsia n  ThaiLand tidak punya gunung emas seperti  Papua, tidak punya nikel 57 juta ton, ga punya minyak 4,5 miliar barel, tidak punya batubara 32 miliar ton, gak punya cadangan kayu hutan 70 juta m3. ... tapi negara Indonesia hidup dari pajak rakyat kiciL kiciL cabe rawit 
.."
nikel papua,nico delanoHenry@P.,2025-09-07T14:13:04.000Z,"10  tahun  Freeport  di korupsi Jokowi... Nikel  mantu  Jokowi ekspor  Nikel  5 juta Ton..
RAKYAT PAPUA  ABADI  MISKIN.. WAJAR  MINTA  MERDEKA."
nikel papua,lucimaya,2025-09-07T13:30:22.000Z,"Bagaimana nasib laut papua, disekitaran raja ampat yang tercemar penambangan nikel? Wahai pejabat pengelola negri ini, malulah pada diri kalian sendiri. Akibat terlalu rakus kalian sampai merusak alam yg dahulunya begitu bersih, airnya jernih. Bebas dari pencemaran.Ikan yg segar"
nikel papua,Grok,2025-09-06T07:49:01.000Z,"Berikut daftar beberapa perusahaan tambang besar di Indonesia beserta lokasi utamanya (berdasarkan data dari sumber terverifikasi seperti 
Tirto.id dan lainnya):

1. PT Freeport Indonesia: Tembaga/emas, Papua (Grasberg).
2. PT Aneka Tambang (ANTAM): Nikel/emas,"
nikel papua,Erwin Togar,2025-09-06T03:30:37.000Z,"Tapi sebanding dengan luas sumber dayanya nikel di sulawesi, batu bara di kalimantan, emas papua, minyak riau, timah sumsel dan babel, kalau dimanfaatkan luar biasa itu bahkan tanpa pajak"
nikel papua,Mikul News,2025-09-06T03:00:59.000Z,"Keindahan Raja Ampat dan kekayaan bahari Papua terancam tambang nikel, lho!  Yuk jaga agar keajaiban alam ini tetap lestari untuk generasi mendatang! #SaveRajaAmpat #LestarikanPapua "
nikel papua,Joki,2025-09-06T02:43:13.000Z,"dalam setiap henpon org2 yg dtg ke pestapora itu ada hasil tambang: nikel yg mungkin berasal dr sulawesi dan maluku, emas dan tembaga yg mungkin berasal dr papua dan banyuwangi, dan batubara yg mungkin berasal dr kalimantan atau sumsel heuheuheu…"
nikel papua,Wisnu Suryaning Adji,2025-09-05T21:15:52.000Z,"Setelah kasus tambang nikel Raja Ampat, sentimen negatif publik atas eksploitasi di Papua menguat. Kok, bisa sebodoh itu menerima sponsorship Freeport? KALAU pihak panitia yg mengajukan proposal ke Freeport, lebih aneh lagi. Kok kepikiran ngajuin?

Apa yg terjadi sblm deal? "
nikel papua,R andi,2025-09-05T09:06:07.000Z,"KPK periksa Luhut atas semua kekayaannya darimana  saja dia peroleh ....kasus covid 19 banyak keterlibatan luhut, kasus di Papua, kasus 5 juta Ton biji nikel ke china ditengarai di terlibat sm bahlil"
nikel papua,Mikul News,2025-09-04T07:01:34.000Z,"Keindahan Raja Ampat yang memukau harus kita jaga bersama!  Ancaman tambang nikel jadi peringatan penting buat pelestarian ekosistem laut Papua yang luar biasa kaya. Yuk, cintai dan lestarikan alam kita!  #SaveRajaAmpat #CintaAlamIndonesia"
nikel papua,台風,2025-09-03T13:36:28.000Z,"top notes bau nikel, body borneo charcoal, bottom sawit papua"
nikel papua,Gus,2025-09-03T04:30:23.000Z,"Ya berangkat dong, ratusan juta kubik kayu hasil nebang di papua katanya ntar sapa yang beli ?
Kontrak nikel juga sapa yang ttd ?

ayo seluruh ulama tambang mendoakanmu !"
nikel papua,Ken Hostnawa Torus,2025-09-02T14:06:18.000Z,"Emangnya kita penghasil minyak nande? Kita itu ketipu kalau dibilang penghasil minyak. SDA kita itu paspasan. Kita terlalu dibohongi waktu sekolah. SDA kita cuman emas papua dan nikel.  
Itu negara Nordik adalah negara yg SDA tinggi, SDM tinggi dan penduduk sedikit juga dipajak"
nikel papua,asep ahmad,2025-09-01T15:43:25.000Z,"Oke, intinya berarti kebijakan tersebut diketahui dan di ijinkan oleh presiden?Kemudian bermasalah di pelaksanaannya, kenapa presiden tidak detail meminta program2 yg akan di buat? Trs seperti nikel di papua, perpindahan pulau aceh ke sumatra utara, dan pajak naik, restu dia kan?"
nikel papua,Forest Watch Indonesia,2025-09-01T13:10:44.000Z,"Di Batam, hutan dilepas demi investasi lewat Perpres 21/2025.
Di Halmahera Tengah, banjir datang 19 kali dalam 5 tahun, rakyat jadi korban, hutan habis untuk nikel.
Di Papua, jutaan hektar hutan adat terancam tebu & bioetanol. Atas nama energi hijau, deforestasi makin parah."
nikel papua,June,2025-08-24T08:45:29.000Z,Belinya hasil dari tambang nikel di Papua dan pulau lainnya. Mantap.
nikel papua,nico delanoHenry@P.,2025-08-22T03:39:50.000Z,Sudah  di ramalan.. pas  kena  ke Jokowi.   Merusak  negara  dan  Mengambil  paksa  hak  rakyat.  Contoh  Tambang  Nikel di Papua  punya  keluarga Jokowi.
nikel papua,Mahesa12345,2025-08-21T09:41:36.000Z,"TAHU-kah Anda, Jika
𝙀𝙈𝘼𝙎 di IRIAN/ PAPUA
di BAGI RATA Secara TULUS,
#JUJUR & ADIL ke Semua
Rakyat #EDENESIA +62
Akan KEBAGIAN Minimal
3 (TIGA) TON
= 3000 Kg per JIWA !!
x.com/grahesa0610/st
…

Ini Baru EMAS Aja
#BELUM dgn MIGAS, BATUBARA, NIKEL, TIMAH, SAWIT, IKAN LAUT dkk"
nikel papua,CALLME GIBRAN,2025-08-21T06:25:41.000Z,"Bermodal 370ribu, bisa profit 10000000000% lebih, lumayan bisa kuasai tambang nikel di Sulawesi dan Papua. Bisa bayar buzzer rp kontol! Dan bisa sewa masyarakat tolol buat tetap stay with fam Solo. "
nikel papua,nico delanoHenry@P.,2025-08-19T10:53:49.000Z,"10 Tahun di korupsi oleh Jokowi SDA.. Keluarga  Jokowi  punya  Tambang  Nikel  di Papua. 
PT  ANTAM. belon di proses  Batangan Emas Asli  di ganti  yang  palsu.  Kerugian  5.9  kuadriliun.  Padahal  komisaris  Jenderal Aktif. 
Pertamina  satu Kuadriliun."
nikel papua,angkasa arata,2025-08-19T09:45:03.000Z,"Waaaw, mana tuh, kerjaan di shelter nikel ya, yg ngerusak alam tanah Papua itu ya, atau kebun sawit yg ngebabat tanah adat Kalimantan, atau yang mana nih bu"
nikel papua,SayaIndonesia,2025-08-18T15:51:49.000Z,"Mhn bantuan pemerintah atas kondisi anak² sekolah di Papua, berikan perhatian khusus. Papua sbg penghasil tambang Emas, tembaga, nikel, dll knp bisa spt ini pak 
@prabowo
 @gibran_tweet
 @jokowi
@Heraloebss"
nikel papua,Grok,2025-08-18T15:09:56.000Z,"Sumber daya alam utama Indonesia per daerah: Sumatera (minyak, gas, sawit, batubara); Kalimantan (batubara, minyak, kayu); Sulawesi (nikel, emas); Papua (tembaga, emas); Jawa & lainnya (pertanian, perikanan). Nilai ekspor tahunan 2024: Rp 2,7 kuadriliun (US$166 miliar), termasuk"
nikel papua,Kopral Pikachu,2025-08-18T03:24:34.000Z,"-tambang nikel morowali
-tambang bauksit kalimantan
-proyek food estate papua
-proyek lanud baru 

ini ya oma"
nikel papua,Kompas.com,2025-08-15T03:25:33.000Z,"Ketua DPR RI, Puan Maharani, memuji langkah Presiden Prabowo Subianto yang mencabut izin tambang nikel di kawasan Raja Ampat, Papua.

~LL #IzinTambang #PuanMaharani"
nikel papua,Perjuangan berlanjut,2025-08-14T01:05:13.000Z,"Kalau kondisi sekarang, emang terbaik itu memisahkan diri,
Aceh punya sumber daya alam melimpah, pempus yg menikmati 
Bangka Belitung dg timahnya, pempus yg menikmati 
Papua tidur diatas emas, nikel dll, Pempus yg menikmati"
nikel papua,Artanabil,2025-08-11T16:45:06.000Z,"Jokowi bangun jalan trans Papua bukan untuk rakyat tapi untuk kepentingan tambang nikel gerombolannya.

Jokowi tandatangani izin tambang Raja Ampat pada 2017.

#GengSoloBiangKorupsi
#GengSoloBiangKorupsi"
nikel papua,Artanabil,2025-08-11T16:44:07.000Z,"Ketua adat bantah masyarakat asli Papua dukung tambang nikel di Raja Ampat.

Sebut yang dukung tambang dari luar, settingan penguasa alias tipu2

#GengSoloBiangKorupsi
#GengSoloBiangKorupsi"
nikel papua,Dark Osint,2025-08-05T03:22:00.000Z,"sekaligus mengatasi tantangan industri tambang di masa depan.

Indonesia dikenal sebagai negeri yang kaya akan sumber daya mineral dan energi. Cadangan tambang seperti nikel, batu bara, emas, timah, tembaga, dan bauksit tersebar di berbagai wilayah, dari Sumatra hingga Papua."
nikel papua,M Dimar Hidayat,2025-08-05T03:16:49.000Z,"Jokowi hanya bangun infrastruktur yg bermanfaat langeung utk kepentingan bisnis nya.

Misal.
Bangun infrastruktur di Papua_utk kelancaran mobilitas tambang nikel &emas."
nikel papua,Andi Hendra Saptanto,2025-08-05T01:42:48.000Z,"Dari Papua hingga Maluku Utara, pola eksploitasi selalu sama: hutan digunduli, air dicemari, rakyat dimiskinkan. Pulau Gebe adalah korban terbaru dari skenario keji TAMBANG ILEGAL #SavePulauGebe"
nikel papua,papuabersamaindonesia,2025-08-04T02:15:37.000Z,"PEMERINTAH AKAN MENGAMBIL TINDAKAN TERHADAP EMPAT PERUSAHAAN PERTAMBANGAN NIKEL YANG BEROPERASI DI BERBAGAI PULAU DI KABUPATEN RAJA AMPAT
#westpapua #bangunpapua
#papua#papuabisa#papuabangga #Papua#hanoi#vietnam"
